"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Test Update Data","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","13","Test Update Data Under Path","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","10","Test Create Key Under Path","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","12","Test Delete Data Under Path","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","4","Test Read Data Under Path","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","6","Test Read Data","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","39","Test Delete Data","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
"","21","Test Add Data","Tests","2025-12-10","passed","2025-12-10","Crud.Crud","Consul","",""
