"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Test Create Key Under Path","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","10","Test Delete Data Under Path","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","17","Test Update Data","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","7","Test Read Data Under Path","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","63","Test Update Data Under Path","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","6","Test Read Data","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","9","Test Add Data","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
"","9","Test Delete Data","Tests","2025-12-22","failed","2025-12-22","Crud.Crud","Consul","",""
