"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Test Read Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","12","Test Create Key Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","15","Test Delete Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","15","Test Add Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","17","Test Update Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","11","Test Read Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","26","Test Update Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","9","Test Delete Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
