"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Test Update Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","6","Test Delete Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","40","Test Delete Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","14","Test Read Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","8","Test Update Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","7","Test Create Key Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","17","Test Read Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","20","Test Add Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
