"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Test Delete Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","47","Test Update Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","6","Test Read Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","6","Test Read Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","11","Test Create Key Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","11","Test Add Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","13","Test Delete Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","69","Test Update Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
