"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Test Add Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","6","Test Create Key Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","6","Test Delete Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","7","Test Read Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","6","Test Read Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","64","Test Delete Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","5","Test Update Data Under Path","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
"","10","Test Update Data","Tests","2025-12-16","failed","2025-12-16","Crud.Crud","Consul","",""
