"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Test Create Key Under Path","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","68","Test Update Data","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","4","Test Delete Data Under Path","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","5","Test Delete Data","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","5","Test Update Data Under Path","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","5","Test Read Data","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","8","Test Add Data","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
"","7","Test Read Data Under Path","Tests","2025-12-11","failed","2025-12-11","Crud.Crud","Consul","",""
