"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Test Read Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","14","Test Update Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","7","Test Create Key Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","15","Test Add Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","10","Test Delete Data","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","11","Test Update Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","38","Test Delete Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
"","5","Test Read Data Under Path","Tests","2025-12-11","passed","2025-12-11","Crud.Crud","Consul","",""
