"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Test Create Key Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","28","Test Delete Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","7","Test Read Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","26","Test Update Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","19","Test Add Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","46","Test Delete Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","48","Test Update Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","22","Test Read Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
