"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Test Update Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","10","Test Delete Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","13","Test Update Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","53","Test Create Key Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","11","Test Delete Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","4","Test Read Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","3","Test Read Data Under Path","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
"","11","Test Add Data","Tests","2025-12-15","passed","2025-12-15","Crud.Crud","Consul","",""
