"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Test Create Key Under Path","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","10","Test Add Data","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","7","Test Read Data Under Path","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","7","Test Read Data","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","7","Test Update Data Under Path","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","64","Test Update Data","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","7","Test Delete Data","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
"","4","Test Delete Data Under Path","Tests","2025-12-12","failed","2025-12-12","Crud.Crud","Consul","",""
